#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0037579	cluster10317	clusterTSS_HS72_11726	CG18193
FBgn0037610	cluster10339	clusterTSS_HS72_11751	CG8043
FBgn0037616	cluster10344	clusterTSS_HS72_11756	CG8136
FBgn0037626	cluster10351	clusterTSS_HS72_11763	CG8236
FBgn0037668	cluster12457	clusterTSS_HS72_14150	CG16736
FBgn0037675	cluster10387	clusterTSS_HS72_11804	HP1e
FBgn0037751	cluster10448	clusterTSS_HS72_11873	topi
FBgn0037759	cluster10454	clusterTSS_HS72_11879	CG8526
FBgn0037763	cluster12536	clusterTSS_HS72_14248	CG16904
FBgn0037798	cluster12567	clusterTSS_HS72_14286	CG12817
FBgn0037811	cluster10483	clusterTSS_HS72_11912	CG12592
FBgn0037812	cluster10484	clusterTSS_HS72_11914	CG18545
FBgn0037824	cluster10496	clusterTSS_HS72_11927	CG14684
FBgn0037826	cluster12588	clusterTSS_HS72_14309	CG14689
FBgn0037827	cluster10497	clusterTSS_HS72_11928	CG4073
FBgn0037828	cluster12589	clusterTSS_HS72_14311	tomboy20
FBgn0037829	cluster12591	clusterTSS_HS72_14313	CG14691
FBgn0037837	cluster12601	clusterTSS_HS72_14324	CG14693
FBgn0037857	cluster10519	clusterTSS_HS72_11952	Tengl4
FBgn0037860	cluster12615	clusterTSS_HS72_14344	CG6629
FBgn0037862	cluster10523	clusterTSS_HS72_11956	CG4706
FBgn0037910	cluster10565	clusterTSS_HS72_12003	CG14708
FBgn0037915	cluster12655	clusterTSS_HS72_14387	CG6790
FBgn0037916	cluster10570	clusterTSS_HS72_12008	CG5342
FBgn0037939	cluster10586	clusterTSS_HS72_12024	CG14718
FBgn0037962	cluster12700	clusterTSS_HS72_14436	CG6971
FBgn0037964	cluster10598	clusterTSS_HS72_12041	CG14731
FBgn0037970	cluster10603	clusterTSS_HS72_12046	GC2
FBgn0037985	cluster10608	clusterTSS_HS72_12051	ssp5
FBgn0037986	cluster10609	clusterTSS_HS72_12052	CG14736
FBgn0037987	cluster12719	clusterTSS_HS72_14457	CG14739
FBgn0037988	cluster12720	clusterTSS_HS72_14458	CG14740
FBgn0037992	cluster12724	clusterTSS_HS72_14463	CG4702
FBgn0037994	cluster12725	clusterTSS_HS72_14464	CG4810
FBgn0037995	cluster10613	clusterTSS_HS72_12057	CG3809
FBgn0038000	cluster10615	clusterTSS_HS72_12059	CG10014
FBgn0038008	cluster10619	clusterTSS_HS72_12063	CG3942
FBgn0038018	cluster12732	clusterTSS_HS72_14471	Tim17a1
FBgn0038051	cluster12755	clusterTSS_HS72_14499	CG17207
FBgn0038052	cluster10645	clusterTSS_HS72_12089	CG5538
FBgn0038054	cluster10649	clusterTSS_HS72_12093	CG5509
FBgn0038078	cluster12767	clusterTSS_HS72_14514	CG14391
FBgn0038089	cluster10669	clusterTSS_HS72_12112	d-cup
FBgn0038090	cluster12776	clusterTSS_HS72_14525	CG10909
FBgn0038102	cluster12780	clusterTSS_HS72_14529	CG14383
FBgn0038109	cluster10680	clusterTSS_HS72_12127	CG11656
FBgn0038122	cluster10692	clusterTSS_HS72_12141	CG8138
FBgn0038123	cluster12791	clusterTSS_HS72_14544	CG8508
FBgn0038124	cluster10693	clusterTSS_HS72_12142	CG14380
FBgn0038127	cluster12792	clusterTSS_HS72_14545	CG8476
FBgn0038158	cluster10719	clusterTSS_HS72_12172	CG14370
FBgn0038163	cluster10720	clusterTSS_HS72_12173	CG10841
FBgn0038186	cluster12838	clusterTSS_HS72_14603	CG14362
FBgn0038188	cluster12842	clusterTSS_HS72_14608	Art9
FBgn0038189	cluster12843	clusterTSS_HS72_14609	Art6
FBgn0038200	cluster12855	clusterTSS_HS72_14623	CG9920
FBgn0038208	cluster12861	clusterTSS_HS72_14632	CG14355
FBgn0038209	cluster12862	clusterTSS_HS72_14633	CG9722
FBgn0038210	cluster10766	clusterTSS_HS72_12227	CG3199
FBgn0038213	cluster12867	clusterTSS_HS72_14637	CG9624
FBgn0038217	cluster12870	clusterTSS_HS72_14641	CG14840
FBgn0038218	cluster12871	clusterTSS_HS72_14642	CG14841
FBgn0038219	cluster10769	clusterTSS_HS72_12231	CG14839
FBgn0038225	cluster12886	clusterTSS_HS72_14659	soti
FBgn0038248	cluster12909	clusterTSS_HS72_14684	CG7886
FBgn0038258	cluster12925	clusterTSS_HS72_14700	CG7362
FBgn0038266	cluster10796	clusterTSS_HS72_12264	CG3610
FBgn0038280	cluster10803	clusterTSS_HS72_12270	CG14861
FBgn0038281	cluster10804	clusterTSS_HS72_12272	RpL10Aa
FBgn0038334	cluster12987	clusterTSS_HS72_14771	h-cup
FBgn0038342	cluster10854	clusterTSS_HS72_12343	CG14870
FBgn0038345	cluster10856	clusterTSS_HS72_12347	CG5213
FBgn0038355	cluster10861	clusterTSS_HS72_12352	CG4520
FBgn0038356	cluster10862	clusterTSS_HS72_12353	CG12784
FBgn0038357	cluster12998	clusterTSS_HS72_14782	CG5623
FBgn0038359	cluster10863	clusterTSS_HS72_12354	CG5614
FBgn0038361	cluster10867	clusterTSS_HS72_12358	CG9589
FBgn0038373	cluster10877	clusterTSS_HS72_12369	CG4546
FBgn0038377	cluster10878	clusterTSS_HS72_12370	CG9632
FBgn0038386	cluster13016	clusterTSS_HS72_14804	CG5478
FBgn0038398	cluster10894	clusterTSS_HS72_12387	sxe2
FBgn0038405	cluster10903	clusterTSS_HS72_12395	CG8927
FBgn0038423	cluster13054	clusterTSS_HS72_14846	CG10317
FBgn0038445	cluster10933	clusterTSS_HS72_12425	CG14891
FBgn0038448	cluster13067	clusterTSS_HS72_14859	CG12783
FBgn0038458	cluster10947	clusterTSS_HS72_12442	VhaM9.7-d
FBgn0038486	cluster10961	clusterTSS_HS72_12457	CG5265
FBgn0038512	cluster13108	clusterTSS_HS72_14907	CG14330
FBgn0038539	cluster13126	clusterTSS_HS72_14929	Atg8b
FBgn0038558	cluster10992	clusterTSS_HS72_12495	CG12347
FBgn0038565	cluster11002	clusterTSS_HS72_12505	CG7794
FBgn0038567	cluster11003	clusterTSS_HS72_12506	CG14316
FBgn0038568	cluster11005	clusterTSS_HS72_12509	CG14315
FBgn0038575	cluster13145	clusterTSS_HS72_14952	CG7208
FBgn0038589	cluster11028	clusterTSS_HS72_12536	CG18598
FBgn0038596	cluster13160	clusterTSS_HS72_14970	CG14312
FBgn0038598	cluster13161	clusterTSS_HS72_14971	CG7131
FBgn0038607	cluster11038	clusterTSS_HS72_12547	hmw
FBgn0038630	cluster11055	clusterTSS_HS72_12567	CG14305
FBgn0038655	cluster11070	clusterTSS_HS72_12582	CG14297
FBgn0038656	cluster13199	clusterTSS_HS72_15009	CG14294
FBgn0038685	cluster11097	clusterTSS_HS72_12614	CG14282
FBgn0038690	cluster13229	clusterTSS_HS72_15044	CG11703
FBgn0038691	cluster13230	clusterTSS_HS72_15045	CG5250
FBgn0038694	cluster13232	clusterTSS_HS72_15048	CG5217
FBgn0038695	cluster11103	clusterTSS_HS72_12620	CG14280
FBgn0038697	cluster13236	clusterTSS_HS72_15052	CG3581
FBgn0038706	cluster13244	clusterTSS_HS72_15061	CG3517
FBgn0038708	cluster13245	clusterTSS_HS72_15062	CG6255
FBgn0038709	cluster13246	clusterTSS_HS72_15063	CG15025
FBgn0038725	cluster13260	clusterTSS_HS72_15075	CG6184
FBgn0038775	cluster13291	clusterTSS_HS72_15112	CG17199
FBgn0038821	cluster13328	clusterTSS_HS72_15151	CG17267
FBgn0038887	cluster11261	clusterTSS_HS72_12799	CG7907
FBgn0038892	cluster13393	clusterTSS_HS72_15224	CG15498
FBgn0038909	cluster13411	clusterTSS_HS72_15243	CG6569
FBgn0038915	cluster13415	clusterTSS_HS72_15247	CG17819
FBgn0038921	cluster11286	clusterTSS_HS72_12824	CG6332
FBgn0038944	cluster13430	clusterTSS_HS72_15264	CG5388
FBgn0038952	cluster11310	clusterTSS_HS72_12852	CG7069
FBgn0038978	cluster11338	clusterTSS_HS72_12881	CG7045
FBgn0038993	cluster11357	clusterTSS_HS72_12902	CG13843
FBgn0039002	cluster11364	clusterTSS_HS72_12911	CG17625
FBgn0039007	cluster13468	clusterTSS_HS72_15308	CCAP
FBgn0039010	cluster13469	clusterTSS_HS72_15310	CG4907
FBgn0039041	cluster11381	clusterTSS_HS72_12931	CG13838
FBgn0039058	cluster13501	clusterTSS_HS72_15343	VhaAC39-2
FBgn0039059	cluster13502	clusterTSS_HS72_15344	CG13829
FBgn0039070	cluster13518	clusterTSS_HS72_15361	CG17083
FBgn0039071	cluster13519	clusterTSS_HS72_15365	CG4434
FBgn0039083	cluster13528	clusterTSS_HS72_15373	CG10177
FBgn0039087	cluster13530	clusterTSS_HS72_15375	CG10168
FBgn0039088	cluster13531	clusterTSS_HS72_15376	CG10164
FBgn0039104	cluster13541	clusterTSS_HS72_15388	CG10252
FBgn0039109	cluster11416	clusterTSS_HS72_12970	CG10365
FBgn0039147	cluster11458	clusterTSS_HS72_13022	CG10694
FBgn0039152	cluster11460	clusterTSS_HS72_13024	Rootletin
FBgn0039177	cluster11490	clusterTSS_HS72_13058	CG13611
FBgn0039190	cluster13643	clusterTSS_HS72_15517	CG5762
FBgn0039226	cluster13666	clusterTSS_HS72_15543	Ude
FBgn0039228	cluster11543	clusterTSS_HS72_13117	CG6980
FBgn0039235	cluster13675	clusterTSS_HS72_15552	CG10899
FBgn0039246	cluster11558	clusterTSS_HS72_13130	CG10845
FBgn0039282	cluster11593	clusterTSS_HS72_13171	Bili
FBgn0039331	cluster11614	clusterTSS_HS72_13198	CG11913
FBgn0039343	cluster11619	clusterTSS_HS72_13204	CG5111
FBgn0039347	cluster11626	clusterTSS_HS72_13210	CG5071
FBgn0039368	cluster13759	clusterTSS_HS72_15642	CG17196
FBgn0039369	cluster13760	clusterTSS_HS72_15643	CG17195
FBgn0039370	cluster13761	clusterTSS_HS72_15644	CG4956
FBgn0039371	cluster13762	clusterTSS_HS72_15645	CG4960
FBgn0039373	cluster11638	clusterTSS_HS72_13226	CG5024
FBgn0039376	cluster11642	clusterTSS_HS72_13231	CG14354
FBgn0039395	cluster13772	clusterTSS_HS72_15655	CG14546
FBgn0039398	cluster11649	clusterTSS_HS72_13238	CG14540
FBgn0039413	cluster11661	clusterTSS_HS72_13252	CG14556
FBgn0039421	cluster13790	clusterTSS_HS72_15680	CG6036
FBgn0039425	cluster11669	clusterTSS_HS72_13261	CG5432
FBgn0039463	cluster11699	clusterTSS_HS72_13297	CG18472
FBgn0039491	cluster13820	clusterTSS_HS72_15715	CG6059
FBgn0039498	cluster11714	clusterTSS_HS72_13314	CG17991
FBgn0039501	cluster13832	clusterTSS_HS72_15727	CG5987
FBgn0039503	cluster13837	clusterTSS_HS72_15733	CG14262
FBgn0039504	cluster11718	clusterTSS_HS72_13320	CG14260
FBgn0039511	cluster13846	clusterTSS_HS72_15745	CG3330
FBgn0039518	cluster11729	clusterTSS_HS72_13333	CG13978
FBgn0039552	cluster13878	clusterTSS_HS72_15782	CG12426
FBgn0039568	cluster13896	clusterTSS_HS72_15800	CG4815
FBgn0039576	cluster11774	clusterTSS_HS72_13385	CG17856
FBgn0039577	cluster13900	clusterTSS_HS72_15805	CG12516
FBgn0039659	cluster13960	clusterTSS_HS72_15872	CG14506
FBgn0039669	cluster11838	clusterTSS_HS72_13451	CG2014
FBgn0039694	cluster13983	clusterTSS_HS72_15900	fig
FBgn0039704	cluster11873	clusterTSS_HS72_13487	neo
FBgn0039707	cluster11874	clusterTSS_HS72_13488	CG15510
FBgn0039744	cluster11898	clusterTSS_HS72_13519	CG15526
FBgn0039760	cluster11916	clusterTSS_HS72_13537	CG9682
FBgn0039792	cluster14073	clusterTSS_HS72_16004	CG2267
FBgn0039796	cluster14075	clusterTSS_HS72_16006	CG12069
FBgn0039797	cluster11936	clusterTSS_HS72_13564	CG1340
FBgn0039799	cluster11937	clusterTSS_HS72_13566	CG15543
FBgn0039810	cluster14088	clusterTSS_HS72_16023	CG15549
FBgn0039812	cluster11947	clusterTSS_HS72_13576	CG15548
FBgn0039850	cluster11967	clusterTSS_HS72_13597	CG11333
FBgn0039855	cluster11973	clusterTSS_HS72_13604	CG1638
FBgn0039887	cluster12011	clusterTSS_HS72_13644	CG2053
FBgn0040031	cluster15581	clusterTSS_HS72_17704	CG12061
FBgn0040063	cluster6422	clusterTSS_HS72_7271	yip3
FBgn0040291	cluster6653	clusterTSS_HS72_7538	Roc1b
FBgn0040345	cluster15639	clusterTSS_HS72_17774	CG3708
FBgn0040356	cluster14492	clusterTSS_HS72_16483	CG12498
FBgn0040362	cluster14380	clusterTSS_HS72_16367	CG11379
FBgn0040365	cluster14378	clusterTSS_HS72_16364	CG14628
FBgn0040368	cluster15647	clusterTSS_HS72_17784	eIF4E-7
FBgn0040371	cluster14329	clusterTSS_HS72_16305	CG12470
FBgn0040391	cluster14461	clusterTSS_HS72_16447	CG2854
FBgn0040506	cluster1004	clusterTSS_HS72_1138	ACXE
FBgn0040508	cluster1001	clusterTSS_HS72_1135	ACXC
FBgn0040509	cluster1002	clusterTSS_HS72_1136	ACXB
FBgn0040510	cluster1003	clusterTSS_HS72_1137	ACXA
FBgn0040519	cluster3152	clusterTSS_HS72_3547	CG15219
FBgn0040524	cluster12354	clusterTSS_HS72_14029	CG11052
FBgn0040648	cluster15520	clusterTSS_HS72_17639	CG11666
FBgn0040649	cluster15508	clusterTSS_HS72_17626	CG15461
FBgn0040651	cluster16844	clusterTSS_HS72_19136	CG15458
FBgn0040679	cluster12229	clusterTSS_HS72_13889	CG11373
FBgn0040684	cluster12127	clusterTSS_HS72_13771	CG12589
FBgn0040694	cluster8556	clusterTSS_HS72_9712	CG14974
FBgn0040696	cluster6946	clusterTSS_HS72_7869	CG18675
FBgn0040719	cluster1713	clusterTSS_HS72_1936	CG15357
FBgn0040747	cluster4007	clusterTSS_HS72_4506	CG12853
FBgn0040755	cluster3845	clusterTSS_HS72_4334	CG17580
FBgn0040763	cluster5470	clusterTSS_HS72_6190	CG18336
FBgn0040812	cluster9295	clusterTSS_HS72_10563	CG8750
FBgn0040814	cluster7562	clusterTSS_HS72_8581	CG14113
FBgn0040816	cluster9188	clusterTSS_HS72_10441	CG12521
FBgn0040843	cluster8657	clusterTSS_HS72_9828	CG15213
FBgn0040871	cluster16429	clusterTSS_HS72_18668	CG12479
FBgn0040904	cluster15814	clusterTSS_HS72_17968	CG15577
FBgn0040905	cluster15815	clusterTSS_HS72_17969	CG15578
FBgn0040906	cluster15817	clusterTSS_HS72_17971	CG15579
FBgn0040958	cluster2252	clusterTSS_HS72_2532	Peritrophin-15b
FBgn0040963	cluster699	clusterTSS_HS72_798	CG18662
FBgn0040967	cluster907	clusterTSS_HS72_1031	CG18666
FBgn0040973	cluster1033	clusterTSS_HS72_1168	CG16824
FBgn0040989	cluster1278	clusterTSS_HS72_1449	CG5693
FBgn0040996	cluster1418	clusterTSS_HS72_1606	CG12617
FBgn0041097	cluster106	clusterTSS_HS72_124	robo3
FBgn0041102	cluster14021	clusterTSS_HS72_15942	ocn
FBgn0041103	cluster2727	clusterTSS_HS72_3066	nht
FBgn0041195	cluster979	clusterTSS_HS72_1110	Pkd2
FBgn0041337	cluster1765	clusterTSS_HS72_1995	Cyp309a2
FBgn0042126	cluster958	clusterTSS_HS72_1082	CG18788
FBgn0042131	cluster8649	clusterTSS_HS72_9820	CG18808
FBgn0042133	cluster1434	clusterTSS_HS72_1624	CG18810
FBgn0042179	cluster6937	clusterTSS_HS72_7857	CG18869
FBgn0042189	cluster2100	clusterTSS_HS72_2367	CG17376
FBgn0042198	cluster4458	clusterTSS_HS72_5013	CG16741
FBgn0042710	cluster11671	clusterTSS_HS72_13263	Hex-t2
FBgn0042711	cluster11670	clusterTSS_HS72_13262	Hex-t1
FBgn0043532	cluster4426	clusterTSS_HS72_4977	Obp56i
FBgn0046294	cluster5987	clusterTSS_HS72_6773	CG12699
FBgn0046323	cluster16955	clusterTSS_HS72_19267	Ory
FBgn0046332	cluster11962	clusterTSS_HS72_13592	gskt
FBgn0046697	cluster16943	clusterTSS_HS72_19254	Ppr-Y
FBgn0046698	cluster16974	clusterTSS_HS72_19289	Pp1-Y2
FBgn0046793	cluster8642	clusterTSS_HS72_9810	CG32236
FBgn0046873	cluster10191	clusterTSS_HS72_11577	Pif2
FBgn0047338	cluster7664	clusterTSS_HS72_8689	CG32148
FBgn0047351	cluster13542	clusterTSS_HS72_15390	CG31468
FBgn0050036	cluster5507	clusterTSS_HS72_6240	CG30036
FBgn0050037	cluster5509	clusterTSS_HS72_6242	CG30037
FBgn0050039	cluster5517	clusterTSS_HS72_6250	CG30039
FBgn0050044	cluster3821	clusterTSS_HS72_4308	s-cup
FBgn0050048	cluster3810	clusterTSS_HS72_4296	CG30048
FBgn0050056	cluster3825	clusterTSS_HS72_4312	CG30056
FBgn0050065	cluster3888	clusterTSS_HS72_4380	CG30065
FBgn0050075	cluster3969	clusterTSS_HS72_4463	CG30075
FBgn0050093	cluster4065	clusterTSS_HS72_4569	CG30093
FBgn0050099	cluster5894	clusterTSS_HS72_6666	CG30099
FBgn0050103	cluster4205	clusterTSS_HS72_4731	CG30103
FBgn0050110	cluster6049	clusterTSS_HS72_6844	CG30110
FBgn0050161	cluster6569	clusterTSS_HS72_7444	CG30161
FBgn0050177	cluster4752	clusterTSS_HS72_5362	CG30177
FBgn0050178	cluster4788	clusterTSS_HS72_5407	CG30178
FBgn0050184	cluster4727	clusterTSS_HS72_5334	CG30184
FBgn0050192	cluster4695	clusterTSS_HS72_5299	CG30192
FBgn0050222	cluster4549	clusterTSS_HS72_5127	CG30222
FBgn0050268	cluster4660	clusterTSS_HS72_5256	CG30268
FBgn0050271	cluster4669	clusterTSS_HS72_5267	CG30271
FBgn0050275	cluster4659	clusterTSS_HS72_5255	CG30275
FBgn0050278	cluster6342	clusterTSS_HS72_7169	CG30278
FBgn0050284	cluster6288	clusterTSS_HS72_7113	CG30284
FBgn0050293	cluster6238	clusterTSS_HS72_7064	Cht12
FBgn0050323	cluster4261	clusterTSS_HS72_4797	CG30323
FBgn0050324	cluster5893	clusterTSS_HS72_6665	CG30324
FBgn0050325	cluster6048	clusterTSS_HS72_6843	CG30325
FBgn0050334	cluster5557	clusterTSS_HS72_6297	CG30334
FBgn0050350	cluster3494	clusterTSS_HS72_3947	CG30350
FBgn0050354	cluster3487	clusterTSS_HS72_3939	CG30354
FBgn0050355	cluster5237	clusterTSS_HS72_5930	CG30355
FBgn0050356	cluster5245	clusterTSS_HS72_5938	CG30356
FBgn0050362	cluster5221	clusterTSS_HS72_5910	boly
FBgn0050369	cluster3457	clusterTSS_HS72_3908	CG30369
FBgn0050376	cluster5213	clusterTSS_HS72_5901	CG30376
FBgn0050378	cluster3421	clusterTSS_HS72_3866	CG30378
FBgn0050384	cluster3362	clusterTSS_HS72_3797	CG30384
FBgn0050385	cluster3361	clusterTSS_HS72_3796	CG30385
FBgn0050391	cluster6256	clusterTSS_HS72_7082	CG30391
FBgn0050393	cluster6257	clusterTSS_HS72_7083	CG30393
FBgn0050398	cluster4575	clusterTSS_HS72_5160	CG30398
FBgn0050412	cluster6436	clusterTSS_HS72_7289	CG30412
FBgn0050416	cluster6437	clusterTSS_HS72_7290	CG30416
FBgn0050417	cluster6438	clusterTSS_HS72_7291	CG30417
FBgn0050430	cluster4904	clusterTSS_HS72_5547	CG30430
FBgn0050432	cluster5012	clusterTSS_HS72_5673	CG30432
FBgn0050466	cluster4049	clusterTSS_HS72_4553	CG30466
FBgn0050472	cluster5817	clusterTSS_HS72_6581	CG30472
FBgn0050485	cluster3919	clusterTSS_HS72_4415	CG30485
FBgn0051007	cluster14091	clusterTSS_HS72_16027	CG31007
FBgn0051008	cluster14090	clusterTSS_HS72_16026	CG31008
FBgn0051010	cluster14077	clusterTSS_HS72_16009	CG31010
FBgn0051013	cluster14074	clusterTSS_HS72_16005	CG31013
FBgn0051025	cluster14031	clusterTSS_HS72_15959	Ppi1
FBgn0051050	cluster13915	clusterTSS_HS72_15824	CG31050
FBgn0051055	cluster13874	clusterTSS_HS72_15777	CG31055
FBgn0051068	cluster11712	clusterTSS_HS72_13312	CG31068
FBgn0051093	cluster13764	clusterTSS_HS72_15647	CG31093
FBgn0051099	cluster13723	clusterTSS_HS72_15603	CG31099
FBgn0051115	cluster11573	clusterTSS_HS72_13146	CG31115
FBgn0051128	cluster11504	clusterTSS_HS72_13072	CG31128
FBgn0051139	cluster13478	clusterTSS_HS72_15320	CG31139
FBgn0051141	cluster11432	clusterTSS_HS72_12992	CG31141
FBgn0051161	cluster11359	clusterTSS_HS72_12905	CG31161
FBgn0051174	cluster13413	clusterTSS_HS72_15245	CG31174
FBgn0051204	cluster14112	clusterTSS_HS72_16047	CG31204
FBgn0051205	cluster11183	clusterTSS_HS72_12715	CG31205
FBgn0051206	cluster13289	clusterTSS_HS72_15110	CG31206
FBgn0051213	cluster11135	clusterTSS_HS72_12662	CG31213
FBgn0051226	cluster13198	clusterTSS_HS72_15008	CG31226
FBgn0051230	cluster11062	clusterTSS_HS72_12575	CG31230
FBgn0051231	cluster11058	clusterTSS_HS72_12571	CG31231
FBgn0051244	cluster13241	clusterTSS_HS72_15058	CG31244
FBgn0051245	cluster13239	clusterTSS_HS72_15056	CG31245
FBgn0051281	cluster11379	clusterTSS_HS72_12929	Tpl94D
FBgn0051286	cluster10197	clusterTSS_HS72_11583	CG31286
FBgn0051287	cluster10907	clusterTSS_HS72_12398	CG31287
FBgn0051294	cluster12997	clusterTSS_HS72_14780	CG31294
FBgn0051327	cluster12864	clusterTSS_HS72_14635	CG31327
FBgn0051347	cluster12766	clusterTSS_HS72_14512	CG31347
FBgn0051361	cluster10610	clusterTSS_HS72_12054	dpr17
FBgn0051391	cluster12584	clusterTSS_HS72_14305	CG31391
FBgn0051404	cluster13237	clusterTSS_HS72_15053	CG31404
FBgn0051406	cluster10485	clusterTSS_HS72_11915	CG31406
FBgn0051407	cluster12543	clusterTSS_HS72_14255	CG31407
FBgn0051415	cluster10437	clusterTSS_HS72_11862	CG31415
FBgn0051465	cluster11278	clusterTSS_HS72_12816	CG31465
FBgn0051473	cluster10267	clusterTSS_HS72_11671	CG31473
FBgn0051482	cluster10195	clusterTSS_HS72_11581	CG31482
FBgn0051501	cluster10253	clusterTSS_HS72_11655	nxf4
FBgn0051525	cluster10027	clusterTSS_HS72_11390	CG31525
FBgn0051526	cluster10034	clusterTSS_HS72_11397	CG31526
FBgn0051528	cluster10025	clusterTSS_HS72_11388	CG31528
FBgn0051533	cluster12863	clusterTSS_HS72_14634	CG31533
FBgn0051538	cluster12143	clusterTSS_HS72_13790	CG31538
FBgn0051546	cluster12203	clusterTSS_HS72_13858	CG31546
FBgn0051551	cluster10116	clusterTSS_HS72_11489	CG31551
FBgn0051601	cluster3145	clusterTSS_HS72_3539	CG31601
FBgn0051609	cluster703	clusterTSS_HS72_805	CG31609
FBgn0051627	cluster1496	clusterTSS_HS72_1688	CG31627
FBgn0051639	cluster2042	clusterTSS_HS72_2302	CG31639
FBgn0051677	cluster3039	clusterTSS_HS72_3421	CG31677
FBgn0051679	cluster1735	clusterTSS_HS72_1962	Tengl3
FBgn0051682	cluster1737	clusterTSS_HS72_1964	Tengl1
FBgn0051693	cluster1537	clusterTSS_HS72_1734	CG31693
FBgn0051697	cluster1379	clusterTSS_HS72_1567	CG31697
FBgn0051702	cluster1540	clusterTSS_HS72_1737	CG31702
FBgn0051703	cluster3149	clusterTSS_HS72_3543	CG31703
FBgn0051709	cluster2316	clusterTSS_HS72_2603	CG31709
FBgn0051730	cluster2615	clusterTSS_HS72_2943	CG31730
FBgn0051735	cluster1162	clusterTSS_HS72_1311	CG31735
FBgn0051740	cluster1283	clusterTSS_HS72_1454	CG31740
FBgn0051742	cluster1276	clusterTSS_HS72_1445	Prosbeta5R2
FBgn0051752	cluster2918	clusterTSS_HS72_3288	CG31752
FBgn0051773	cluster1879	clusterTSS_HS72_2118	CG31773
FBgn0051776	cluster255	clusterTSS_HS72_294	CG31776
FBgn0051784	cluster2818	clusterTSS_HS72_3177	CG31784
FBgn0051787	cluster2872	clusterTSS_HS72_3233	CG31787
FBgn0051788	cluster2870	clusterTSS_HS72_3232	CG31788
FBgn0051797	cluster2954	clusterTSS_HS72_3329	CG31797
FBgn0051798	cluster1361	clusterTSS_HS72_1546	CG31798
FBgn0051802	cluster2869	clusterTSS_HS72_3231	CG31802
FBgn0051803	cluster2827	clusterTSS_HS72_3187	CG31803
FBgn0051804	cluster1249	clusterTSS_HS72_1413	CG31804
FBgn0051805	cluster2806	clusterTSS_HS72_3162	CG31805
FBgn0051806	cluster1241	clusterTSS_HS72_1402	CG31806
FBgn0051807	cluster2786	clusterTSS_HS72_3140	CG31807
FBgn0051815	cluster1206	clusterTSS_HS72_1360	CG31815
FBgn0051816	cluster1203	clusterTSS_HS72_1357	CG31816
FBgn0051848	cluster2616	clusterTSS_HS72_2944	CG31848
FBgn0051851	cluster1024	clusterTSS_HS72_1160	CG31851
FBgn0051858	cluster2564	clusterTSS_HS72_2881	t-cup
FBgn0051860	cluster965	clusterTSS_HS72_1093	ZnT33D
FBgn0051861	cluster964	clusterTSS_HS72_1091	CG31861
FBgn0051867	cluster2483	clusterTSS_HS72_2792	CG31867
FBgn0051870	cluster885	clusterTSS_HS72_1010	CG31870
FBgn0051874	cluster2356	clusterTSS_HS72_2647	CG31874
FBgn0051882	cluster2320	clusterTSS_HS72_2607	CG31882
FBgn0051907	cluster2137	clusterTSS_HS72_2409	CG31907
FBgn0051909	cluster560	clusterTSS_HS72_639	CG31909
FBgn0051910	cluster2089	clusterTSS_HS72_2355	CG31910
FBgn0051913	cluster423	clusterTSS_HS72_477	CG31913
FBgn0051921	cluster1619	clusterTSS_HS72_1826	CG31921
FBgn0051924	cluster1680	clusterTSS_HS72_1898	CG31924
FBgn0051933	cluster1709	clusterTSS_HS72_1930	CG31933
FBgn0051948	cluster1760	clusterTSS_HS72_1989	CG31948
FBgn0051949	cluster165	clusterTSS_HS72_191	CG31949
FBgn0051952	cluster248	clusterTSS_HS72_287	CG31952
FBgn0051958	cluster277	clusterTSS_HS72_315	CG31958
FBgn0051960	cluster276	clusterTSS_HS72_314	CG31960
FBgn0051988	cluster3098	clusterTSS_HS72_3485	CG31988
FBgn0052006	cluster14177	clusterTSS_HS72_16118	CG32006
FBgn0052026	cluster7238	clusterTSS_HS72_8196	CG32026
FBgn0052061	cluster7362	clusterTSS_HS72_8350	CG32061
FBgn0052064	cluster7367	clusterTSS_HS72_8356	S-Lap4
FBgn0052073	cluster9113	clusterTSS_HS72_10360	CG32073
FBgn0052079	cluster7398	clusterTSS_HS72_8393	CG32079
FBgn0052081	cluster7399	clusterTSS_HS72_8394	CG32081
FBgn0052086	cluster9154	clusterTSS_HS72_10405	CG32086
FBgn0052087	cluster7455	clusterTSS_HS72_8458	CG32087
FBgn0052106	cluster9242	clusterTSS_HS72_10503	CG32106
FBgn0052110	cluster7530	clusterTSS_HS72_8545	CG32110
FBgn0052117	cluster9251	clusterTSS_HS72_10514	CG32117
FBgn0052119	cluster9270	clusterTSS_HS72_10536	CG32119
FBgn0052141	cluster7607	clusterTSS_HS72_8629	CG32141
FBgn0052161	cluster7806	clusterTSS_HS72_8855	CG32161
FBgn0052181	cluster7869	clusterTSS_HS72_8924	CG32181
FBgn0052192	cluster7879	clusterTSS_HS72_8937	CG32192
FBgn0052212	cluster7945	clusterTSS_HS72_9014	CG32212
FBgn0052219	cluster9708	clusterTSS_HS72_11027	CG32219
FBgn0052232	cluster8654	clusterTSS_HS72_9825	CG32232
FBgn0052238	cluster6981	clusterTSS_HS72_7910	CG32238
