#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0029993	cluster14776	clusterTSS_HS72_16795	CG1571
FBgn0030004	cluster14780	clusterTSS_HS72_16801	CG10958
FBgn0030014	cluster14786	clusterTSS_HS72_16807	CG15337
FBgn0030015	cluster16060	clusterTSS_HS72_18255	CG10761
FBgn0030033	cluster14796	clusterTSS_HS72_16817	CG1387
FBgn0030058	cluster16091	clusterTSS_HS72_18292	CG11294
FBgn0030071	cluster16110	clusterTSS_HS72_18313	CG12661
FBgn0030104	cluster14864	clusterTSS_HS72_16898	CG15368
FBgn0030120	cluster16138	clusterTSS_HS72_18341	CG17440
FBgn0030189	cluster14906	clusterTSS_HS72_16946	CG2909
FBgn0030191	cluster16191	clusterTSS_HS72_18395	CG15306
FBgn0030195	cluster14909	clusterTSS_HS72_16949	CG2898
FBgn0030200	cluster14912	clusterTSS_HS72_16952	RabX2
FBgn0030215	cluster16207	clusterTSS_HS72_18412	CG15296
FBgn0030224	cluster16214	clusterTSS_HS72_18419	CG12637
FBgn0030247	cluster14929	clusterTSS_HS72_16971	CG15208
FBgn0030277	cluster16263	clusterTSS_HS72_18478	CG1394
FBgn0030278	cluster14949	clusterTSS_HS72_16995	CG15200
FBgn0030280	cluster14952	clusterTSS_HS72_16998	CG11106
FBgn0030283	cluster14954	clusterTSS_HS72_17001	CG15198
FBgn0030290	cluster14959	clusterTSS_HS72_17007	CG11756
FBgn0030296	cluster14973	clusterTSS_HS72_17020	CG15196
FBgn0030307	cluster16272	clusterTSS_HS72_18489	CG33235
FBgn0030313	cluster14985	clusterTSS_HS72_17031	CG11697
FBgn0030319	cluster16279	clusterTSS_HS72_18496	CG2533
FBgn0030359	cluster16321	clusterTSS_HS72_18546	CG18130
FBgn0030370	cluster16325	clusterTSS_HS72_18552	Uch-L5R
FBgn0030374	cluster16328	clusterTSS_HS72_18555	CG15734
FBgn0030376	cluster15046	clusterTSS_HS72_17094	CG2750
FBgn0030377	cluster16329	clusterTSS_HS72_18556	CG1924
FBgn0030384	cluster15049	clusterTSS_HS72_17098	CG2577
FBgn0030386	cluster15050	clusterTSS_HS72_17099	CG2574
FBgn0030389	cluster15052	clusterTSS_HS72_17100	CG15927
FBgn0030429	cluster16348	clusterTSS_HS72_18579	CG4661
FBgn0030440	cluster16362	clusterTSS_HS72_18594	CG15719
FBgn0030441	cluster15082	clusterTSS_HS72_17134	CG2209
FBgn0030449	cluster16364	clusterTSS_HS72_18596	Fer3HCH
FBgn0030462	cluster16374	clusterTSS_HS72_18608	CG15742
FBgn0030524	cluster16414	clusterTSS_HS72_18652	CG10993
FBgn0030525	cluster16415	clusterTSS_HS72_18653	CG10996
FBgn0030536	cluster15150	clusterTSS_HS72_17204	CG11068
FBgn0030538	cluster16431	clusterTSS_HS72_18670	betaNACtes1
FBgn0030563	cluster16438	clusterTSS_HS72_18677	betaNACtes2
FBgn0030566	cluster15165	clusterTSS_HS72_17225	betaNACtes4
FBgn0030577	cluster15173	clusterTSS_HS72_17233	CG5334
FBgn0030578	cluster15174	clusterTSS_HS72_17234	CG5347
FBgn0030599	cluster16457	clusterTSS_HS72_18699	CG9030
FBgn0030614	cluster16464	clusterTSS_HS72_18707	CG9072
FBgn0030620	cluster15186	clusterTSS_HS72_17250	CG5662
FBgn0030622	cluster16473	clusterTSS_HS72_18718	CG9101
FBgn0030623	cluster16476	clusterTSS_HS72_18721	PPYR1
FBgn0030624	cluster16477	clusterTSS_HS72_18722	CG9106
FBgn0030663	cluster15223	clusterTSS_HS72_17294	CG8117
FBgn0030684	cluster15239	clusterTSS_HS72_17311	CG8260
FBgn0030691	cluster16523	clusterTSS_HS72_18777	Efhc1.1
FBgn0030696	cluster15247	clusterTSS_HS72_17321	CG8509
FBgn0030697	cluster15252	clusterTSS_HS72_17329	CG8565
FBgn0030721	cluster15275	clusterTSS_HS72_17357	CG12698
FBgn0030722	cluster16551	clusterTSS_HS72_18810	CG12395
FBgn0030725	cluster15276	clusterTSS_HS72_17359	CG8958
FBgn0030764	cluster16597	clusterTSS_HS72_18863	CG9777
FBgn0030770	cluster16602	clusterTSS_HS72_18868	CG13010
FBgn0030780	cluster15324	clusterTSS_HS72_17416	CG13008
FBgn0030814	cluster15343	clusterTSS_HS72_17438	CG4955
FBgn0030823	cluster16641	clusterTSS_HS72_18911	CG8918
FBgn0030840	cluster16650	clusterTSS_HS72_18921	p-cup
FBgn0030898	cluster16697	clusterTSS_HS72_18973	Andorra
FBgn0030905	cluster16701	clusterTSS_HS72_18977	CG15059
FBgn0030933	cluster16721	clusterTSS_HS72_18997	CG6470
FBgn0030936	cluster16722	clusterTSS_HS72_18998	CG6481
FBgn0030937	cluster16723	clusterTSS_HS72_18999	CG15042
FBgn0030940	cluster16725	clusterTSS_HS72_19001	CG15040
FBgn0030951	cluster16736	clusterTSS_HS72_19012	CG6873
FBgn0030952	cluster16737	clusterTSS_HS72_19013	CG12609
FBgn0030975	cluster15415	clusterTSS_HS72_17518	CG7349
FBgn0030979	cluster15418	clusterTSS_HS72_17521	CG14190
FBgn0030982	cluster16749	clusterTSS_HS72_19027	CG7423
FBgn0030989	cluster16757	clusterTSS_HS72_19038	Inx5
FBgn0031026	cluster16788	clusterTSS_HS72_19071	CG12231
FBgn0031045	cluster15461	clusterTSS_HS72_17564	CG14212
FBgn0031082	cluster16827	clusterTSS_HS72_19116	CG17003
FBgn0031085	cluster15488	clusterTSS_HS72_17597	CG9570
FBgn0031101	cluster15499	clusterTSS_HS72_17614	CG1631
FBgn0031103	cluster16840	clusterTSS_HS72_19132	CG12679
FBgn0031104	cluster16841	clusterTSS_HS72_19133	jb
FBgn0031108	cluster16843	clusterTSS_HS72_19135	CG15459
FBgn0031127	cluster15514	clusterTSS_HS72_17633	CG1835
FBgn0031129	cluster16859	clusterTSS_HS72_19159	CG1324
FBgn0031130	cluster16860	clusterTSS_HS72_19160	CG15452
FBgn0031132	cluster15518	clusterTSS_HS72_17637	CG15450
FBgn0031134	cluster16863	clusterTSS_HS72_19162	CG1314
FBgn0031139	cluster16865	clusterTSS_HS72_19165	CG11227
FBgn0031142	cluster16866	clusterTSS_HS72_19166	r-cup
FBgn0031163	cluster15533	clusterTSS_HS72_17652	CG14579
FBgn0031164	cluster16883	clusterTSS_HS72_19184	CG1724
FBgn0031168	cluster16884	clusterTSS_HS72_19185	CG1722
FBgn0031169	cluster15534	clusterTSS_HS72_17654	CG1494
FBgn0031197	cluster15573	clusterTSS_HS72_17696	CG17601
FBgn0031201	cluster16918	clusterTSS_HS72_19224	CG12446
FBgn0031208	cluster1	clusterTSS_HS72_1	CG11023
FBgn0031214	cluster8	clusterTSS_HS72_10	CG11374
FBgn0031235	cluster31	clusterTSS_HS72_35	CG13693
FBgn0031240	cluster33	clusterTSS_HS72_37	CG3345
FBgn0031251	cluster1622	clusterTSS_HS72_1829	CG4213
FBgn0031279	cluster71	clusterTSS_HS72_80	CG3544
FBgn0031283	cluster1642	clusterTSS_HS72_1855	CG15880
FBgn0031288	cluster81	clusterTSS_HS72_95	CG13949
FBgn0031292	cluster1653	clusterTSS_HS72_1869	CG15824
FBgn0031295	cluster1656	clusterTSS_HS72_1874	CG4375
FBgn0031301	cluster92	clusterTSS_HS72_108	CG14339
FBgn0031323	cluster1674	clusterTSS_HS72_1892	CG5139
FBgn0031331	cluster107	clusterTSS_HS72_125	CG5440
FBgn0031332	cluster1678	clusterTSS_HS72_1896	CG5556
FBgn0031333	cluster1679	clusterTSS_HS72_1897	CG5561
FBgn0031335	cluster1681	clusterTSS_HS72_1899	CG5565
FBgn0031347	cluster1692	clusterTSS_HS72_1912	CG10869
FBgn0031364	cluster125	clusterTSS_HS72_147	CG17648
FBgn0031367	cluster1710	clusterTSS_HS72_1931	c-cup
FBgn0031372	cluster127	clusterTSS_HS72_149	CG7295
FBgn0031378	cluster133	clusterTSS_HS72_155	CG15362
FBgn0031388	cluster143	clusterTSS_HS72_165	CG12674
FBgn0031407	cluster164	clusterTSS_HS72_190	CG4270
FBgn0031410	cluster1742	clusterTSS_HS72_1969	CG17237
FBgn0031423	cluster1758	clusterTSS_HS72_1986	CG3557
FBgn0031430	cluster1763	clusterTSS_HS72_1993	CG3528
FBgn0031431	cluster1764	clusterTSS_HS72_1994	CG3515
FBgn0031440	cluster179	clusterTSS_HS72_207	CG15395
FBgn0031441	cluster1772	clusterTSS_HS72_2002	CG9962
FBgn0031442	cluster183	clusterTSS_HS72_212	Prosbeta4R1
FBgn0031443	cluster184	clusterTSS_HS72_213	Prosbeta4R2
FBgn0031444	cluster185	clusterTSS_HS72_214	CG9879
FBgn0031451	cluster1775	clusterTSS_HS72_2006	CG9961
FBgn0031460	cluster1788	clusterTSS_HS72_2018	CG15399
FBgn0031462	cluster203	clusterTSS_HS72_232	CG2964
FBgn0031463	cluster1789	clusterTSS_HS72_2019	G6P
FBgn0031465	cluster1790	clusterTSS_HS72_2020	CG3123
FBgn0031469	cluster1792	clusterTSS_HS72_2022	CG18558
FBgn0031476	cluster208	clusterTSS_HS72_238	CG8813
FBgn0031496	cluster1820	clusterTSS_HS72_2054	CG17258
FBgn0031501	cluster230	clusterTSS_HS72_264	CG17261
FBgn0031504	cluster236	clusterTSS_HS72_272	CG15403
FBgn0031513	cluster240	clusterTSS_HS72_276	CG3347
FBgn0031526	cluster243	clusterTSS_HS72_282	CG8838
FBgn0031531	cluster246	clusterTSS_HS72_285	CG8840
FBgn0031545	cluster1854	clusterTSS_HS72_2090	CG3213
FBgn0031546	cluster261	clusterTSS_HS72_301	CG8851
FBgn0031554	cluster1857	clusterTSS_HS72_2093	CG15418
FBgn0031585	cluster294	clusterTSS_HS72_332	CG2955
FBgn0031592	cluster1887	clusterTSS_HS72_2129	Art2
FBgn0031596	cluster305	clusterTSS_HS72_344	CG15429
FBgn0031626	cluster1914	clusterTSS_HS72_2160	CG15631
FBgn0031644	cluster336	clusterTSS_HS72_378	CG15625
FBgn0031675	cluster1956	clusterTSS_HS72_2208	CG9121
FBgn0031690	cluster1966	clusterTSS_HS72_2221	CG7742
FBgn0031707	cluster394	clusterTSS_HS72_443	CG14020
FBgn0031720	cluster1987	clusterTSS_HS72_2245	CG14013
FBgn0031721	cluster408	clusterTSS_HS72_461	CG14017
FBgn0031722	cluster1988	clusterTSS_HS72_2246	CG14011
FBgn0031723	cluster1989	clusterTSS_HS72_2247	CG7251
FBgn0031724	cluster410	clusterTSS_HS72_463	CG18266
FBgn0031733	cluster1996	clusterTSS_HS72_2253	CG14006
FBgn0031749	cluster2006	clusterTSS_HS72_2261	CG14000
FBgn0031751	cluster2010	clusterTSS_HS72_2266	CG9016
FBgn0031753	cluster2014	clusterTSS_HS72_2271	CG13999
FBgn0031757	cluster435	clusterTSS_HS72_488	Ucp4C
FBgn0031758	cluster436	clusterTSS_HS72_489	Ucp4B
FBgn0031784	cluster468	clusterTSS_HS72_530	CG9222
FBgn0031785	cluster469	clusterTSS_HS72_531	CG13991
FBgn0031786	cluster470	clusterTSS_HS72_532	CG13989
FBgn0031826	cluster494	clusterTSS_HS72_562	CG9550
FBgn0031831	cluster497	clusterTSS_HS72_565	CG11043
FBgn0031856	cluster2091	clusterTSS_HS72_2357	CG11322
FBgn0031858	cluster515	clusterTSS_HS72_586	CG17378
FBgn0031859	cluster2103	clusterTSS_HS72_2371	CG17377
FBgn0031861	cluster2104	clusterTSS_HS72_2372	CG17375
FBgn0031905	cluster563	clusterTSS_HS72_642	gudu
FBgn0031920	cluster575	clusterTSS_HS72_655	CG6441
FBgn0031941	cluster581	clusterTSS_HS72_662	CG7211
FBgn0031946	cluster587	clusterTSS_HS72_668	CG7164
FBgn0031954	cluster601	clusterTSS_HS72_684	CG14537
FBgn0031986	cluster620	clusterTSS_HS72_709	CG8673
FBgn0032003	cluster633	clusterTSS_HS72_724	CG8349
FBgn0032004	cluster2223	clusterTSS_HS72_2503	CG8292
FBgn0032039	cluster655	clusterTSS_HS72_750	CG13385
FBgn0032047	cluster673	clusterTSS_HS72_771	CG13088
FBgn0032061	cluster687	clusterTSS_HS72_785	CG9314
FBgn0032065	cluster689	clusterTSS_HS72_787	CG12438
FBgn0032072	cluster695	clusterTSS_HS72_793	CG9483
FBgn0032090	cluster2289	clusterTSS_HS72_2570	CG9582
FBgn0032094	cluster702	clusterTSS_HS72_804	CG12439
FBgn0032109	cluster709	clusterTSS_HS72_813	CG17005
FBgn0032110	cluster713	clusterTSS_HS72_817	CG3748
FBgn0032111	cluster714	clusterTSS_HS72_818	CG13110
FBgn0032115	cluster2301	clusterTSS_HS72_2586	CG4438
FBgn0032131	cluster742	clusterTSS_HS72_847	CG3841
FBgn0032163	cluster2342	clusterTSS_HS72_2630	TbCMF46
FBgn0032175	cluster2355	clusterTSS_HS72_2646	CG13131
FBgn0032176	cluster788	clusterTSS_HS72_897	CG13127
FBgn0032188	cluster800	clusterTSS_HS72_912	CG13137
FBgn0032219	cluster824	clusterTSS_HS72_944	CG4995
FBgn0032268	cluster869	clusterTSS_HS72_993	CG6138
FBgn0032269	cluster2419	clusterTSS_HS72_2719	w-cup
FBgn0032271	cluster2421	clusterTSS_HS72_2721	CG7329
FBgn0032276	cluster875	clusterTSS_HS72_998	CG17098
FBgn0032291	cluster881	clusterTSS_HS72_1006	CG17118
FBgn0032294	cluster2429	clusterTSS_HS72_2732	Vha16-5
FBgn0032312	cluster2453	clusterTSS_HS72_2759	CG14071
FBgn0032313	cluster2455	clusterTSS_HS72_2763	CG14070
FBgn0032314	cluster2456	clusterTSS_HS72_2764	CG7309
FBgn0032315	cluster2457	clusterTSS_HS72_2765	CG14069
FBgn0032338	cluster908	clusterTSS_HS72_1032	CG16854
FBgn0032345	cluster2479	clusterTSS_HS72_2788	CG14921
FBgn0032360	cluster2490	clusterTSS_HS72_2800	CG14926
FBgn0032364	cluster931	clusterTSS_HS72_1057	CG4970
FBgn0032365	cluster932	clusterTSS_HS72_1058	CG14929
FBgn0032366	cluster2495	clusterTSS_HS72_2806	CG14930
FBgn0032368	cluster2503	clusterTSS_HS72_2816	spag4
FBgn0032369	cluster2504	clusterTSS_HS72_2817	CG6614
FBgn0032370	cluster2506	clusterTSS_HS72_2819	CG12307
