""	"B1"	"B2"	"H1"	"H2"
"cluster1626"	9.63325350180896	9.668256931355	12.0088622573361	12.1400200517436
"cluster51"	9.90385784550963	9.90865875349346	9.00134314528744	8.56663254119618
"cluster1627"	6.85900888510894	6.75293571585578	5.6762970734572	5.86792172960848
"cluster1628"	12.3055838291047	12.2352870225158	11.3725602884679	10.9786999158631
"cluster52"	9.0491135086751	9.20619502918207	10.0734857222269	10.7200271654325
"cluster1629"	7.45442603963999	7.29939069001311	5.87986916589189	5.93373037288527
"cluster53"	9.64232735537432	9.53749470399236	10.1813060965295	10.7575427464021
"cluster1630"	9.49266266032667	9.42227279110509	9.29770185872586	9.05244860707272
"cluster54"	8.77372314336889	8.78543178569729	7.97534714763229	7.69218914331225
"cluster1631"	5.61171302115984	5.68323626687229	5.87401552996715	6.60592440071548
"cluster1632"	5.83278787846364	6.04516701749833	6.01806649257054	6.3550256443431
"cluster1633"	12.6513510084476	12.568197194854	13.0431901417588	13.1876423398103
"cluster1634"	10.9202717050277	10.7494181648906	10.8956190655898	11.1873458488163
"cluster55"	7.35068953342117	7.18594451364427	5.9163682876782	5.73346023461124
"cluster1635"	6.86375117639044	6.93238961698721	6.62671584850891	6.79653050562972
"cluster56"	11.646170516568	11.5541096657616	11.084076236071	10.795476536978
"cluster57"	6.0043746864003	5.84655651431749	5.79438237443003	5.31720323105798
"cluster58"	6.35531166829723	6.70469805217304	6.18007715645259	5.58112518337501
"cluster1636"	5.98042819266644	5.86984912558227	6.45697504284183	7.05577845413648
"cluster59"	7.74115432883788	7.64448583114358	10.0039757109243	10.8326170320446
"cluster1637"	8.94476065497702	8.93447800975513	8.55640589695818	8.26987087689923
"cluster60"	10.409150932374	10.2848047930552	10.3064013497224	10.1443286009501
"cluster1638"	8.77633210497868	8.58507374828853	8.13411909159616	8.11268845305016
"cluster61"	10.5045354413885	10.4504316858681	10.0392690963749	9.78464719558593
"cluster62"	6.04299147501667	5.98927098649842	5.43157509677053	4.01571408254229
"cluster1639"	0.60865088151629	1.56687772413694	9.11332511124551	9.50609230671231
"cluster66"	7.7703290413967	7.6226675634791	7.00186655234682	6.61777875663247
"cluster69"	0.643511707013067	-0.0931112108527108	12.0380129261645	13.3495463012614
"cluster70"	-2.26746137889331	-0.286697160527133	5.4867207678914	7.17427510565887
"cluster71"	-2.14956130139116	-2.10370311269026	9.14546959761272	10.2662264669621
"cluster72"	8.98176267266233	8.79784111482564	9.7321810662772	9.44515399814442
"cluster73"	8.23724833209589	8.07450977768392	7.88264925632826	7.3725204028902
"cluster1641"	6.7520481945963	6.87446784881052	7.2229742680066	6.8640552098981
"cluster74"	8.56340039976358	8.27169826429706	8.15704319265522	8.04890833974103
"cluster1642"	-2.00171238432287	0.647861650205694	10.5691040198893	10.7440796875616
"cluster1643"	7.18327763325115	7.1101189311211	6.53419254143505	6.33855321924514
"cluster75"	9.29924943926125	9.26705469669843	10.6919811182702	10.5535293958569
"cluster76"	11.0929941763991	10.9382767562842	11.2690845356126	11.7941385310833
"cluster1644"	8.5460970333641	8.62674425485899	8.38704095597038	8.2567635844772
"cluster77"	10.245632691286	10.2187604493724	9.88082500053476	9.92224200154017
"cluster1645"	8.76885459240641	8.68325315349624	8.0268840709911	7.36211705481783
"cluster1646"	4.3133578202185	4.99382781783283	10.2396556271638	10.9625334887569
"cluster1647"	4.20873917917368	3.90443133727328	6.46675025610388	6.454154671916
"cluster1648"	11.0947733041378	11.1059779182411	10.7052046663057	10.714102654373
"cluster1649"	7.9407093970125	7.69875569235817	9.57988601022462	10.1005381535389
"cluster80"	7.10804145623997	7.13171629530821	9.47351937009283	10.0817620216065
"cluster1650"	-0.241190991758486	0.637399926230501	8.51857177378307	9.02295661595511
"cluster81"	3.63119517292845	3.96866656203605	10.0032103455376	10.1149286978394
"cluster1651"	8.26999823260475	8.15534584913448	7.92966372965233	7.9205520927926
"cluster1652"	10.7429672724723	10.7056032195321	10.0312154087702	9.9249237839188
"cluster82"	10.6897154710535	10.7043993254857	10.1783537884457	9.84223341864914
"cluster83"	2.93030641595027	3.32283938759014	8.40660684331637	8.8156276782999
"cluster84"	9.00521461286168	9.16688476450993	8.52712521262927	8.5497525590134
"cluster1653"	-2.10399243510848	-2.05811576973461	9.89578115841911	10.9532074204739
"cluster85"	6.81659423508278	6.64140927261826	4.428303403737	-1.22021814118108
"cluster1655"	-2.30324966606116	-2.25765032134659	6.46300056568642	7.53137096755575
"cluster1656"	1.56073832952555	1.90867865191956	14.0806483461137	14.3278711861323
"cluster86"	12.4349996524673	12.4450089350657	12.2197503795973	12.1354836471512
"cluster87"	7.60199580714945	7.77401716841106	7.19658459500235	7.22563843015519
"cluster88"	5.62604279352765	6.32453740037739	4.80729660980659	5.26589430797838
"cluster1658"	8.36048271648235	8.47082857718121	8.51410817750541	8.86239883200537
"cluster1659"	9.08122127487779	9.23432203274649	9.61071768403339	10.0660146096049
"cluster89"	9.0331483462123	9.08919144409916	10.8968463483142	11.2644522359078
"cluster90"	8.85751637861332	8.88865914423934	8.62007615775191	8.64296066866635
"cluster1660"	10.0014027721625	9.83558940928829	9.76731705930664	9.45490211294855
"cluster1661"	8.73718420202311	8.77108152477907	10.0353096625641	10.634666456167
"cluster92"	-2.23402239513372	-2.1882431513954	7.78767102463849	8.81958094675394
"cluster1662"	5.74198966387954	5.86412326588199	5.8336896959689	5.61571440304356
"cluster1663"	12.2195976148045	12.0642529430104	11.4371024453706	10.8898716637194
"cluster1664"	1.82212372571549	1.87351198459449	7.49948524694655	7.97320626231822
"cluster1665"	7.41736368715609	7.46387091429435	8.09182827042202	8.55587448826151
"cluster93"	8.93402557223096	9.04498514604792	10.0836575851186	10.8635211383499
"cluster94"	8.02977906327023	8.14745588168902	7.87327029648201	7.545439572112
"cluster1666"	8.50064127313884	8.4467807031829	9.56345375343858	10.0487766922804
"cluster95"	10.4167461801002	10.3609481357212	11.0157788450882	11.1901170147423
"cluster1667"	10.5988677865939	10.5409280742544	10.0831488770449	9.92672002692872
"cluster97"	8.80365041466686	8.7590567517646	8.53846992649293	8.42738021445613
"cluster1668"	6.34810535314901	6.28975866266014	5.15621825697795	4.80974643311941
"cluster98"	8.44876588761639	8.48422026740053	8.14188773815119	8.3290507275317
"cluster99"	9.9258584921306	9.82156405781119	10.8975657259822	10.7362794684387
"cluster1669"	9.61860772084784	9.60364227462686	9.88264603280308	10.4833350847966
"cluster1670"	-2.15494016267964	0.611228732466811	7.47120881304684	8.66414763530183
"cluster100"	7.65318942171572	7.43489368747955	8.34397870977431	7.98846847458848
"cluster1671"	-2.22421925733561	-2.17842665733902	7.97419836988479	8.97037761688541
"cluster1672"	7.79930981405553	7.8295337617234	7.68053466995381	7.43907126969963
"cluster101"	9.25067512934967	9.36702173835374	8.59796658143891	8.54508006506208
"cluster102"	8.13533358849637	8.05298618790797	10.8078697072296	11.1115626792467
"cluster1673"	7.87609725883136	7.82983507360213	7.53334127697433	7.75285135823296
"cluster103"	8.21894750667411	8.14142946521951	8.25407053004632	7.94424903697367
"cluster104"	7.57419076053578	7.63140313823185	6.73591366154159	6.24302706791869
"cluster105"	7.27964079785086	7.34413274229453	6.30136148179124	6.082164753849
"cluster1674"	1.14880501895793	-1.80572736567677	12.5208020690753	12.995281149909
"cluster106"	-2.34037832823658	-2.29510656791678	6.06749994730003	5.94035402477378
"cluster107"	0.63964581053865	-0.0996095594541249	12.5261117565951	12.3578834946098
"cluster108"	2.94179023384411	1.2439034124195	13.8483853414362	14.5111354022508
"cluster1678"	-2.07920178029979	-2.03331906517721	10.4457864337385	11.1707683441384
"cluster1679"	-0.186648771525439	-1.87533090840539	12.199729345977	12.4842977183056
"cluster1680"	-2.1366547350917	-2.09079320080224	9.71405021468713	10.0959699079344
"cluster1681"	-1.91875777417627	0.668615268367373	11.7587652160685	12.1798344830743
"cluster1682"	6.79145575539859	7.87364589593658	8.57565867615713	7.87130323990558
"cluster1683"	13.3142877083946	13.2572218905356	13.1975002658095	12.6988465268507
"cluster109"	10.9163005656379	10.7433165889349	12.3653424788622	12.4208060456791
"cluster1684"	8.52760286282557	8.31795593409474	7.31438792432148	7.20180318257763
"cluster110"	-2.33589090910532	-2.29053535066725	5.84217103545067	6.51781881064715
"cluster111"	8.25842225019036	8.1431391791142	6.27464697158872	5.8055403051732
"cluster1686"	2.48239731263816	2.84569595525651	5.41632972460807	6.96713648216355
"cluster1687"	7.67747572176695	7.61546730593979	11.7975764745072	12.7022267800771
"cluster1688"	9.83760125214473	9.93715069349446	11.0936994856415	11.6613268765033
"cluster1689"	-2.33984182428099	-2.29448623638551	5.60355005864827	6.6477482978973
"cluster114"	7.28507796373605	7.12359687054458	6.32854363434796	5.93420226590628
"cluster1691"	-2.27243759973877	-2.22673106900689	7.03382800944756	8.19640306406965
"cluster1692"	-2.00295514209055	-1.95705913875342	11.4565000121619	12.5042889759024
"cluster1693"	1.13022091708375	1.56651732556098	8.41004560504544	9.15663108610234
"cluster1694"	8.10177317300518	8.16806607359209	7.31420302015325	7.56514088946907
"cluster115"	7.60981965251694	7.58522846034986	8.43734396324817	8.61606579476044
"cluster1696"	11.1883553310772	11.1655963979092	12.3286986174278	12.4246628554563
"cluster116"	10.5661395665753	10.5055345776736	10.1277890487245	10.413948656319
"cluster119"	9.94631203945719	9.94121156984854	9.71293869491175	9.60201392786806
"cluster1698"	10.7426623005261	10.6395057669682	11.0500551839446	11.1633774718076
"cluster120"	11.1199536076952	11.0818842983552	11.5110820970062	11.3515778324476
"cluster1699"	6.20214258369856	6.18702888059154	5.62843588940952	5.45408481688486
"cluster1700"	6.19278361107741	6.52048907062271	6.17991791674522	5.86717292632125
"cluster1701"	-0.259699765108903	-2.04522863086579	9.40421381090017	9.89581574661639
"cluster1702"	12.5284945453259	12.4783325915902	11.9917436544645	11.3211254973543
"cluster1703"	7.59713388318689	7.75098859033464	7.4328193517767	7.12047298574765
"cluster121"	10.0665377858971	9.85437448095188	9.68625204008838	9.60439452057491
"cluster1704"	5.93897506594605	5.65092583390387	11.2592313108487	12.2253153085049
"cluster122"	9.27887139552197	9.12972859788951	8.52729546326056	8.51911708220864
"cluster1705"	7.22099773885125	7.23350242076567	7.80368771210756	7.90995577091821
"cluster123"	5.64301663694344	5.59529282719148	5.43148124646142	4.8068355485832
"cluster124"	11.6839118199576	11.4667146681809	11.3767412952389	10.9462673193226
"cluster1707"	7.7975582030482	7.79170456678416	8.67363519920515	9.00876259643004
"cluster125"	-1.99281062827857	0.650069142026489	10.6374020372614	10.9612903852441
"cluster1708"	12.870010133129	12.7925563555634	14.3990479230404	14.1310973201336
"cluster1709"	-0.224073456233875	-1.96262602378614	10.7008651317962	11.255839573467
"cluster1710"	0.638917354704982	-1.78941025555298	13.2194455522537	13.3221631535573
"cluster127"	0.620889672493016	-1.86087585872648	11.9328170102219	12.3857677961118
"cluster129"	9.82485622763523	9.69621112527073	11.2013771734441	12.0329384822839
"cluster130"	7.61421186040707	7.2897052398936	6.81664400172688	6.45280546612581
"cluster1713"	1.14066805485816	-1.85086497854972	12.1485671288809	11.955822826464
"cluster1714"	-2.08232702583492	-2.03644570608047	10.5805169812051	10.936363254936
"cluster131"	-2.32634413439498	-2.28089101416339	6.02567146299497	6.87594831572659
"cluster132"	9.12405759482166	9.02734579533586	9.91660318804198	10.3224149721944
"cluster1715"	6.73250295877086	6.8294482838461	6.53381507568993	6.81284481917777
"cluster133"	7.12406865342672	6.99737106358043	11.8259768011975	12.1442638177425
"cluster134"	9.66270982983265	9.63328461968762	10.952580082259	11.5086565068398
"cluster1716"	-0.243702920959668	-2.00807093073481	9.79384905556554	10.7208409035995
"cluster1717"	11.0898855950615	11.1399800690113	10.6170421219847	10.0975524119426
"cluster135"	13.456627000424	13.3012060056473	13.1356501170801	12.4989258461692
"cluster136"	6.8608131441184	6.56634730816593	6.18257982529606	6.26405334070999
"cluster1718"	5.01568443880052	6.7509656172737	3.81327290961735	2.77969918807244
"cluster1719"	7.74418715869151	7.46551872787465	9.39960615877567	9.00183077705947
"cluster138"	5.57183829732115	5.20006352107606	6.40202856852776	6.80485088157419
"cluster139"	-2.27568978476224	-2.23000825529689	7.23051404254006	7.82169737319261
"cluster140"	7.69338388435289	7.41483850488032	7.48241218161497	6.81689357005297
"cluster141"	10.7584310839372	10.6004191813384	10.1475589272511	10.200783601992
"cluster142"	6.5743325306382	6.53115026915741	10.9393018443849	11.3517056467162
"cluster143"	0.639648102417636	-0.0996061988362262	12.3795366568236	12.5046444147552
"cluster1722"	9.3958000320839	9.31650672478423	9.34578218662691	8.66795238226473
"cluster145"	12.1626051022565	12.1504126694289	11.4387834367023	10.9954871433289
"cluster1723"	10.2309526759652	10.2040346006322	10.9497472181918	11.1963563533134
"cluster1724"	9.05639801114049	9.01011573923693	10.3882567329004	10.4947856852804
"cluster146"	7.83645687872355	7.87585921024743	8.37320117634387	9.20170854511673
"cluster147"	8.59059563673171	8.60440945688384	10.3994775794941	10.8854832082889
"cluster148"	9.09219039429453	9.15520100852797	11.0580227615833	12.0229150087133
"cluster149"	-2.0900036257297	-0.209784174961659	9.46442087630533	9.86602936330654
"cluster1725"	5.61848390489092	5.67002433502711	4.44703891954793	4.66114410452273
"cluster1726"	8.87482112074839	8.78802683016734	7.94894215578824	7.90594811899954
"cluster1727"	9.73268427813215	9.61244104737126	9.79510347975256	9.98670711685707
"cluster1728"	-2.16813501893393	-0.243385472855134	8.41104769597352	8.22902364533463
"cluster1729"	5.46828356582455	5.40587466953191	7.18935948450985	7.74328083465142
"cluster1730"	12.0347081117509	12.0148008475371	12.9191093108484	13.4194901449668
"cluster150"	8.40113924451319	8.51264353998537	8.66892341593727	8.35305000466975
"cluster1731"	10.2350613715198	10.2110255503675	10.032512275507	9.69053289860692
"cluster1732"	10.4299135877552	10.45870772984	11.9324053161018	12.0356350733129
"cluster151"	7.48603803119382	7.62287493841693	9.1308128646403	9.80269524367224
"cluster152"	8.79960994793389	8.89919546764653	8.55663243752707	8.65235192490196
"cluster153"	-2.2733054395487	-2.22761688570775	7.27388826772524	7.87082464901037
"cluster154"	5.99969625412001	6.42572661317593	8.02216059016879	8.64512239516817
"cluster155"	-0.250067427862758	-2.02280360879977	9.61106350835041	10.4265993819814
"cluster156"	-2.33999509950555	-2.29467192838229	5.68407732023416	6.47388276057987
"cluster1733"	9.4654507879578	9.41919302795165	11.306774039279	11.3874780206597
"cluster157"	2.07316499589707	0.664211158575377	8.87343366460547	9.81341089184392
"cluster158"	10.6788020754681	10.4604107195136	10.7569629251446	10.9571588063984
"cluster1734"	10.8060574511061	10.6496488344422	10.3990275289026	10.7799633921029
"cluster1735"	-2.06770409183225	-2.02181883786276	10.6702970808634	11.3015448650141
"cluster1736"	-2.1513176609858	-2.10546423377758	9.54986207988162	9.78999372563317
"cluster1737"	-2.06646596120548	-2.02058054022237	10.7245155621825	11.2851186953097
"cluster164"	0.63390086258243	-0.109191476206679	11.9559877275444	12.192459741114
"cluster1738"	-2.33160497669441	-2.28622670918641	6.08045026540854	6.46124623091215
"cluster1741"	-2.05646964811518	-2.01058246932028	11.072364751618	11.2443531100533
"cluster1742"	1.14303409965691	-0.121703258345679	10.9804714798458	11.6705920495464
"cluster1743"	-1.81546811065247	1.58569060421477	13.0223359850481	13.2307311764885
"cluster165"	0.669065679350387	0.719871219483871	13.778165416595	14.0449656526217
"cluster166"	7.84811190997592	7.54781987159853	8.41788280052129	8.30378477107941
"cluster1746"	10.1995242627464	10.1752949631885	9.7185386924342	9.57254492144513
"cluster1749"	5.2688107229535	4.89921590147001	3.64685738212502	3.24846800871387
"cluster1750"	5.5670018567147	5.12317993999419	4.09954662283748	3.7512779126903
"cluster1751"	8.84155134268155	8.76063769800472	8.19606852888215	7.96831550642501
"cluster1752"	10.8608344710896	10.9136992496609	10.6058375668477	10.7329381522604
"cluster1753"	6.62535516752943	6.39697478973204	6.05468795026729	6.38126376875005
"cluster167"	10.4725810665477	10.3377556211797	9.87630215666462	9.96120211428359
"cluster1754"	7.34776960096528	7.20937054985325	6.85438091331675	6.19112140554791
"cluster1755"	8.18099363906913	8.03676127314949	6.46301554215701	6.21801846158365
"cluster1756"	9.63166483800844	9.51071965993148	9.12959363557322	8.93280689231965
"cluster168"	6.09189034263473	6.04135324796449	5.27619072258866	5.61555261609002
"cluster169"	7.64677864859204	7.73255284392656	7.40731601958051	7.34777752370444
"cluster170"	-0.221249238771519	1.17417202149579	8.82399499301983	9.82619723691144
"cluster171"	7.92191315976464	7.95800041451212	7.815761362706	8.1447933404623
"cluster1758"	-0.219497285444096	-1.95196260134123	10.7672221110267	11.5271733028409
"cluster1759"	-0.201235635947775	-1.90957803040985	11.7873292137113	11.8316026215953
"cluster1760"	1.17920612496693	1.90228292537059	13.1359021900754	13.9460016225
"cluster172"	6.24544578187928	6.54294416856558	6.24016412633187	6.02142060471669
"cluster173"	8.43065643705524	8.39280580274107	7.61596234634492	7.77175769298156
"cluster1762"	8.66591554059415	8.61109228957976	9.56935201179538	9.79446165810034
"cluster174"	9.04671788780949	9.13011024945734	11.0528774682602	12.1810079815926
"cluster1763"	-2.01951783877223	-0.179275238722842	10.6173921121896	10.9859847266114
"cluster1764"	-2.05208189892378	-2.00619387543122	11.1652880442471	11.2866135983956
"cluster1765"	-0.236423964386447	-1.99137055998235	10.1190114233742	10.9281642649456
"cluster1766"	7.68561560355473	7.61463346874089	7.90918491364465	7.34824750086344
"cluster1767"	6.52571864326338	6.41059261924042	6.8324897071922	6.49226376467825
"cluster1768"	8.46574645349407	8.36682402008603	10.2392120330424	10.3941003414251
"cluster175"	6.40224133898675	6.62631481379657	5.98566590657251	5.99187438522502
"cluster1769"	12.6945280520749	12.6483499179601	13.6386336349702	13.5550171188555
"cluster176"	11.1013934685843	11.0066221441747	11.783631986412	11.8594975158517
"cluster1771"	10.9631396976683	10.9221051680261	11.6120945049553	12.3015609815919
"cluster177"	-2.0681828705934	-2.02229824275021	10.9693490788456	10.9853282045027
"cluster178"	3.45926374985808	2.34879281739767	7.63818910826617	7.32871191120679
"cluster179"	-0.194530758842475	-1.89398373277805	11.7891982265615	12.3161676153707
"cluster1772"	-2.05506954460187	-0.194627637770744	10.1175444524426	10.3490250932113
"cluster1773"	-2.09279453617948	-2.04691537182861	10.2115257610413	10.9829532541044
"cluster183"	0.669714246962011	2.14652432778589	13.1570887454132	13.2874326056636
"cluster184"	-1.90023798073843	-0.128079349313221	12.5420909982652	12.7882456701207
"cluster185"	-2.02472973305336	0.642177142361356	10.2485639398321	10.3222775078471
"cluster1774"	9.20063903164041	9.25623553810119	8.90184249537877	8.83532358349344
"cluster186"	-0.263372381792097	1.16106314751083	6.93055086106407	7.16236299677863
"cluster187"	9.51970830219908	9.34257116076815	8.79583257028373	8.33131294682323
"cluster188"	8.25628071611757	8.12217002717338	7.56919333960375	7.49343372532386
"cluster189"	8.41945302119888	8.49712876099075	8.83462300483281	9.53357155934483
"cluster190"	7.41247215622198	7.16872928126433	6.87404231520286	6.53681484988122
"cluster1775"	-1.98052855324414	0.653080201965325	10.5368636235125	11.4580402068816
"cluster191"	8.11686478591668	8.22744821273516	7.93837091098355	7.70016632565639
"cluster1776"	11.0776583143742	11.0459801918639	10.7573622614447	10.6057159682037
"cluster1777"	5.23748863854984	5.12874431692742	4.63122326210652	4.5007529596124
"cluster1778"	5.0099915726257	5.00124782055946	3.81790419832265	4.22015957133224
"cluster192"	12.0804004315253	11.9932140923234	11.7338474627725	11.3076371190435
